,Dates,Xt,Rt
177,2020-08-28,13778.745982249538,663612.6177363142
178,2020-08-29,12790.59624800467,665220.2374447129
179,2020-08-30,11857.259596670392,666724.2750127288
180,2020-08-31,10977.092626759586,668129.414498662
181,2020-09-01,10148.382303420234,669440.3347204466
182,2020-09-02,9369.305160134212,670661.7019827003
183,2020-09-03,8638.04059692145,671798.0124705834
184,2020-09-04,7952.744359134948,672853.6599270209
185,2020-09-05,7311.498894430846,673833.0105606002
186,2020-09-06,6712.417880503197,674740.2802097553
187,2020-09-07,6153.640737592513,675579.5299547829
188,2020-09-08,5633.274102148531,676354.741208793
189,2020-09-09,5149.444043164321,677069.767606568
190,2020-09-10,4700.318072217982,677728.298555614
191,2020-09-11,4284.078872334058,678333.8928594248
192,2020-09-12,3898.9345010991688,678889.9840124425
193,2020-09-13,3543.1392578765026,679399.8541044797
194,2020-09-14,3214.995473313542,679866.6296855051
195,2020-09-15,2912.8441513103417,680293.3021751437
196,2020-09-16,2635.074598369942,680682.7251687167
197,2020-09-17,2380.1428318254457,681037.5974087376
198,2020-09-18,2146.5610007197542,681360.4764268745
199,2020-09-19,1932.8916611219042,681653.7902364954
200,2020-09-20,1737.7641960407523,681919.8255497223
201,2020-09-21,1559.8727564598316,682160.7314440385
202,2020-09-22,1397.96689392976,682378.5329393649
203,2020-09-23,1250.8589211260235,682575.1297441527
204,2020-09-24,1117.4266696049763,682752.2961426022
205,2020-09-25,996.6068152338659,682911.6900768707
206,2020-09-26,887.3943219155243,683054.8587099587
207,2020-09-27,788.8452392086567,683183.2398650912
208,2020-09-28,700.0745401008963,683298.166898182
209,2020-09-29,620.2519917531117,683400.8760155909
210,2020-09-30,548.6016919582391,683492.5104463861
211,2020-10-01,484.4019031569492,683574.1236140191
212,2020-10-02,426.9811924939463,683646.6853572396
213,2020-10-03,375.715681445318,683711.0875133101
214,2020-10-04,330.0286291450968,683768.147264715
215,2020-10-05,289.3877995069396,683818.6118711391
216,2020-10-06,253.3020673213257,683863.1640809568
217,2020-10-07,221.3199361743134,683902.4260134178
218,2020-10-08,193.02772454588936,683936.9629910593
219,2020-10-09,168.04668667893404,683967.2880435495
220,2020-10-10,146.03078299164977,683993.8658755919
221,2020-10-11,126.66495499759345,684017.116268118
222,2020-10-12,109.66293193766258,684037.4176375872
223,2020-10-13,94.7649408480876,684055.1105779153
224,2020-10-14,81.73590576379824,684070.5009300672
225,2020-10-15,70.36372348405227,684083.8626329076
226,2020-10-16,60.457303981969886,684095.4406189745
227,2020-10-17,51.84482363926401,684105.4534619247
228,2020-10-18,44.37225896987425,684114.0957092403
229,2020-10-19,37.90184104243029,684121.5401543041
230,2020-10-20,32.3105432766405,684127.9399891809
231,2020-10-21,27.488798367852855,684133.4307058512
232,2020-10-22,23.33928246250961,684138.131855198
233,2020-10-23,19.775706699158135,684142.1487143649
234,2020-10-24,16.721736075003477,684145.5737908842
235,2020-10-25,14.110024194673713,684148.4881735593
236,2020-10-26,11.881288883587848,684150.962784274
237,2020-10-27,9.98345217278444,684153.0595228799
238,2020-10-28,8.370879422651003,684154.8322877348
239,2020-10-29,7.003684601265705,684156.3278973171
240,2020-10-30,5.847080690832612,684157.5869315405
241,2020-10-31,4.870797418592458,684158.6444833309
242,2020-11-01,4.048564219568634,684159.5308258422
243,2020-11-02,3.3576358193464673,684160.2720135752
244,2020-11-03,2.7783630411151337,684160.890419589
245,2020-11-04,2.2938146195604503,684161.4052087872
246,2020-11-05,1.8894385365948596,684161.8327576824
247,2020-11-06,1.552756724311194,684162.18702738
248,2020-11-07,1.2730956256135202,684162.4798910925
249,2020-11-08,1.041349109305176,684162.7214209889
250,2020-11-09,0.8497676078985885,684162.9201404287
251,2020-11-10,0.6917720371059737,684163.0832445719
252,2020-11-11,0.5617915029506612,684163.2167919598
253,2020-11-12,0.45512116992241497,684163.3258710279
254,2020-11-13,0.36779756862750196,684163.4147447484
255,2020-11-14,0.29649035480750696,684163.4869754307
