date,location,new_cases,new_deaths,total_cases,total_deaths,govt_pol_index,tests_per_thous,Susceptible,Infected,Recovered,I_x,Stages
05/12/20,India,3525,122,74281,2415,79.24,,213038.286245578,69589.1408749836,17375.5728794387,6528.62702549936,4
05/13/20,India,,,,,,,206509.659220078,74534.861925542,18958.4788543797,6765.46802444215,4
05/14/20,India,,,,,,,199744.191195636,79605.6255483094,20653.1832560544,6977.52314380696,4
05/15/20,India,,,,,,,192766.668051829,84774.543251257,22461.7886969138,7160.97770722656,4
05/16/20,India,,,,,,,185605.690344603,90011.6673228847,24385.6423325127,7312.01703833381,4
05/17/20,India,,,,,,,178293.673306269,95283.9908322211,26425.3358615101,7426.8264607614,4
05/18/20,India,,,,,,,170866.846845508,100555.447628824,28580.7055256687,7501.5912981421,4
05/19/20,India,,,,,,,163365.255547365,105786.91234278,30850.8321098551,7532.49687410871,4
05/20/20,India,,,,,,,155832.758673257,110936.200384703,33234.04094204,7515.72851229401,4
05/21/20,India,,,,,,,148317.030160963,115958.06794574,35727.9018932979,7447.47153633073,4
05/22/20,India,,,,,,,140869.558624632,120804.211997561,38329.2293778073,7323.91126985173,4
05/23/20,India,,,,,,,133545.64735478,125423.270292369,41034.0823528505,7161.98980035273,4
05/24/20,India,,,,,,,126383.657554427,129780.149161297,43839.1932842752,6988.47113606139,4
05/25/20,India,,,,,,,119395.186418366,133868.194303198,46739.6192784355,6791.74654348074,4
05/26/20,India,,,,,,,112603.439874885,137671.959189488,49727.6009356263,6574.52633316978,4
05/27/20,India,,,,,,,106028.913541716,141178.555467848,52795.5309904365,6339.61607594122,4
05/28/20,India,,,,,,,99689.2974657744,144377.737205886,55935.9653283399,6089.8213426077,4
05/29/20,India,,,,,,,93599.4761231667,147261.900891139,59141.6229856946,5827.94770398189,4
05/30/20,India,,,,,,,87771.5284191848,149826.085431072,62405.3861497438,5556.80073087645,4
05/31/20,India,,,,,,,82214.7276883083,152067.972153077,65720.3001586147,5279.18599410407,4
06/01/20,India,,,,,,,76935.5416942043,153987.884804476,69079.5735013196,4997.9090644774,4
06/02/20,India,,,,,,,71937.6326297269,155588.789552518,72476.5778177552,4715.77551280908,4
06/03/20,India,,,,,,,67221.8571169178,156876.294984379,75904.8478987028,4435.59090991179,4
06/04/20,India,,,,,,,62786.266207006,157858.652107166,79358.0816858285,4160.16082659824,4
06/05/20,India,,,,,,,58626.1053804078,158546.754347909,82830.1402716827,3892.29083368104,4
06/06/20,India,,,,,,,54733.8145467267,158954.137553572,86315.0478997008,3634.78650197286,4
06/07/20,India,,,,,,,51099.0280447539,159096.979991044,89806.9919642025,3390.45340228638,4
06/08/20,India,,,,,,,47708.5746424675,158994.10234714,93300.3230103922,3162.09710543431,4
06/09/20,India,,,,,,,44546.4775370332,158666.967728608,96789.5547343591,2945.50716182549,4
