data,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
07/19/20,,,,4991.42298456545,87563.4247243577,207448.152291077
07/20/20,,,,4807.99805252015,85842.3485674029,209352.653380077
07/21/20,,,,4634.76914243851,84148.4974459277,211219.733411634
07/22/20,,,,4471.02424230989,82481.9918927668,213049.983864923
07/23/20,,,,4316.10409373214,80842.9023378242,214843.993568444
07/24/20,,,,4169.40219191159,79231.2491080729,216602.348700016
07/25/20,,,,4030.36478566301,77647.0024275548,218325.632786782
07/26/20,,,,3898.49087740966,76090.0824173811,220014.426705209
07/27/20,,,,3773.33222318326,74560.359095732,221669.308681085
07/28/20,,,,3654.493332624,73057.6523778565,223290.854289519
07/29/20,,,,3541.63146898054,71581.7320760731,224879.636454946
07/30/20,,,,3434.45664911001,70132.3178997691,226436.225451121
07/31/20,,,,3332.73164347801,68709.0794554009,227961.188901121
08/01/20,,,,3236.13152621171,67311.7414783102,229455.126995478
08/02/20,,,,3144.05260248299,65940.2415642267,230918.70583329
08/03/20,,,,3056.26436511273,64594.2522016329,232352.483433254
08/04/20,,,,2972.57015226488,63273.4259638781,233757.003883857
08/05/20,,,,2892.77894941416,61977.4162601776,235132.804790408
08/06/20,,,,2816.70538934601,60705.8773356138,236480.41727504
08/07/20,,,,2744.16975215663,59458.4642711352,237800.365976708
08/08/20,,,,2674.99796525295,58234.832983557,239093.16905119
08/09/20,,,,2609.02160335263,57034.6402255611,240359.338171086
08/10/20,,,,2546.0778884841,55857.5435856956,241599.37852582
08/11/20,,,,2486.00968998649,54703.2014883755,242813.788821638
08/12/20,,,,2428.66552450971,53571.2731938821,244003.061281608
08/13/20,,,,2373.89955601439,52461.4187983633,245167.681645622
08/14/20,,,,2321.5715957719,51373.2992338338,246308.129170394
08/15/20,,,,2271.54710236436,50306.5762681744,247424.876629461
08/16/20,,,,2223.69718168462,49260.9125051327,248518.390313183
08/17/20,,,,2177.89858693629,48235.9713843228,249589.130028741
08/18/20,,,,2134.0337186337,47231.4171812255,250637.549100141
08/19/20,,,,2091.99062460193,46246.9150071878,251664.09436821
08/20/20,,,,2051.66299997681,45282.1308094236,252669.2061906
08/21/20,,,,2012.95018720488,44336.7313710131,253653.318441782
08/22/20,,,,1975.75717604345,43410.3843109031,254616.858513053
